ecosystem,sha,timestamp,link
aws-samples,f3f9c1880a4832572fe40e1238713145136faca7,2023-10-04 08:25:10,https://github.com/aws-samples/aws-serverless-developer-experience-workshop-java/commit/f3f9c1880a4832572fe40e1238713145136faca7
aws-samples,356e2b547161b64c2f64da251d76fc97bd06e208,2023-11-06 09:14:37,https://github.com/aws-samples/aws-lambda-java-workshop/commit/356e2b547161b64c2f64da251d76fc97bd06e208
aws-samples,89434d50ca5ff99b2ec39bb6e2136a7c27b55767,2022-03-31 14:25:39,https://github.com/aws-samples/serverless-java-frameworks-samples/commit/89434d50ca5ff99b2ec39bb6e2136a7c27b55767
aws-samples,f23c22d2e02889a385fe17dbc018a6ca8f563ad7,2023-06-02 20:00:54,https://github.com/aws-samples/amazon-ivs-real-time-streaming-android-samples/commit/f23c22d2e02889a385fe17dbc018a6ca8f563ad7
aws-samples,f25b24c1d3de281fc26c1ccbba0cb63cdc58bcf2,2024-01-15 07:37:40,https://github.com/aws-samples/aws-serverless-developer-experience-workshop-dotnet/commit/f25b24c1d3de281fc26c1ccbba0cb63cdc58bcf2
aws-samples,d8196b3c96b9f15c4547b088fec2dfb182d37428,2023-05-16 02:06:27,https://github.com/aws-samples/aws-health-events-insight/commit/d8196b3c96b9f15c4547b088fec2dfb182d37428
aws-samples,8ad915bb04f3c79ad860a57042def546898116fe,2023-01-24 19:35:02,https://github.com/aws-samples/amazon-chime-sdk-meetings-with-amplify/commit/8ad915bb04f3c79ad860a57042def546898116fe
aws-samples,e677e202a8752d11b98c1976609eccd62a97889e,2023-09-07 23:45:01,https://github.com/aws-samples/observability-with-amazon-opensearch/commit/e677e202a8752d11b98c1976609eccd62a97889e
aws-samples,fbacfca7fd7ce0db795f0db41612221ad3be0b0f,2020-02-06 09:16:12,https://github.com/aws-samples/amazon-s3-resumable-upload/commit/fbacfca7fd7ce0db795f0db41612221ad3be0b0f
aws-samples,b244c7627ec472986ca0c9d4c74116e63f7904dc,2020-01-23 21:50:16,https://github.com/aws-samples/aws-sdk-js-tests/commit/b244c7627ec472986ca0c9d4c74116e63f7904dc
aws-samples,582eee8802e47127233fad9cbd9ee747e0861b64,2022-07-28 08:58:12,https://github.com/aws-samples/eks-multi-cluster-gitops/commit/582eee8802e47127233fad9cbd9ee747e0861b64
aws-samples,985df918acd71ec8a95a2c1e5d80c071efc661c8,2020-06-02 15:48:02,https://github.com/aws-samples/aws-control-tower-guardduty-enabler/commit/985df918acd71ec8a95a2c1e5d80c071efc661c8
aws-samples,34950aa76b16efb0f1bca6a7a312bc64d301b769,2024-02-27 19:45:56,https://github.com/aws-samples/spark-on-aws-lambda/commit/34950aa76b16efb0f1bca6a7a312bc64d301b769
aws-samples,59b0b9f6b0ad8ae1fd4f6ae51623f573ce08ccf2,2020-02-25 12:46:57,https://github.com/aws-samples/aws-serverless-workshop-innovator-island/commit/59b0b9f6b0ad8ae1fd4f6ae51623f573ce08ccf2
aws-samples,41a5215fb0c09f38c0459d4617caacca46081c9e,2021-01-07 07:10:51,https://github.com/aws-samples/amazon-eventbridge-resource-policy-samples/commit/41a5215fb0c09f38c0459d4617caacca46081c9e
aws-samples,90ad93e848c8b7d0b23718f04f1a746a5059a41e,2023-03-30 20:30:22,https://github.com/aws-samples/spark-on-aws-lambda/commit/90ad93e848c8b7d0b23718f04f1a746a5059a41e
aws-samples,b6ea0d41e73bd0c431ac778fa3d61e09709f9ffe,2023-08-08 01:53:23,https://github.com/aws-samples/appmod-partners-serverless/commit/b6ea0d41e73bd0c431ac778fa3d61e09709f9ffe
aws-samples,bf843ff40ed8f4302bd406076fbb9a72d395aab0,2022-01-12 10:21:42,https://github.com/aws-samples/amazon-cloudfront-secure-static-site/commit/bf843ff40ed8f4302bd406076fbb9a72d395aab0
aws-samples,808c6f7a287914a44b59bdbddb9c05ba71ec33ce,2022-06-13 19:03:09,https://github.com/aws-samples/eks-multi-cluster-gitops/commit/808c6f7a287914a44b59bdbddb9c05ba71ec33ce
aws-samples,c6f1051d945be34bac525b6fe10ec352363a9b9f,2022-11-26 05:39:40,https://github.com/aws-samples/aws-serverless-developer-experience-workshop-dotnet/commit/c6f1051d945be34bac525b6fe10ec352363a9b9f
